technology,group,parameters,technology-entry,description
BCA_Emission,emission_factor,"activity, lower",1,"Emissions of BCA.
Weight as BCA, kg BCA per kW·a."
CH4_Emission,emission_factor,"activity, lower, upper",1,"Emissions of CH4 (weight as CH4, kg CH4 per kWyr)"
CO_Emission,emission_factor,"activity, lower",1,"Emissions of CO (weight as CO, kg CO per kWyr)"
CO2_Emission_Global_Total,,,,Used by message_data.tools.utilities to constrain global total CO₂ emissions to be non-negative.
CO2_r_c,removed,activity,1,CO₂ emissions of residential and commercial buildings sector.
CO2_trp,removed,activity,1,CO₂ emissions of transport sector.
HFC_Emission,emission_factor,"activity, lower, upper",1,"Emissions of HFC (weight as HFC, kg HFC-134a-equivalent per kWyr)"
HFC_foam_red,emission_factor,"activity, lower",1,Constraint to link HFC emissions from insulation foams to reduction efficiency of abatement technologies.
HFC_mobile_red,emission_factor,"activity, lower",1,Constraint to link HFC emissions from mobile air conditioning to reduction efficiency of abatement technologies.
HFC_rescom_red,emission_factor,"activity, lower",1,Constraint to link HFC emissions from residential & commercial refrigeration & AC to reduction efficiency of abatement technologies.
N2O_Emission,emission_factor,"activity, lower, upper",1,"Emissions of N2O (weight as N2O, kg N2O per kWyr)"
NH3_Emission,emission_factor,"activity, lower",1,"Emissions of NH3 (weight as NH3, kg NH3 per kWyr)"
NOx_Emission,emission_factor,"activity, lower",1,"Emissions of nitrous oxides (NOx)
Weight as NOx, kg NOx per kW·a."
OCA_Emission,emission_factor,"activity, lower",1,"Emissions of OCA (weight as OCA, kg OCA per kWyr)"
oper_res,renewable formulation,"activity, lower",1,Operating reserve equation for electricity systems integration.
SF6_Emission,emission_factor,"activity, lower, upper",1,"Emissions of SF6 (weight as SF6, kg SF6 per kWyr)"
SF6_mag_red,emission_factor,"activity, lower",1,Constraint to link SF₆ emissions from electrical equipment to reduction efficiency of abatement technologies.
SO2_Emission,emission_factor,"activity, lower",1,"Emissions of SO2 (weight as SO2, kg SO2 per kWyr)"
solar_th_pot,renewable formulation,"activity, upper",1,Solar thermal potential
VOC_Emission,emission_factor,"activity, lower",1,"Emissions of volatile organic compounds (VOCs)
Weight as VOC, kg VOC per kW·a."
BCA_Emission_bunkers,removed,activity,1,BC emission from international shipping (bunker fuel)
CF4_Emission,emission_factor,"activity, lower, upper",1,"Emissions of CF4 (weight as CF4, kg CF4 per kWyr)"
CF4_alm_red,add-on,"activity, lower",1,Constraint to link CF4 emissions from aluminum to reduction efficiency of abatement technologies.
CH4_Emission_bunkers,emission_factor,"activity, lower, upper",1,Counter - R11-GLB only - CH4 emissions of international shipping
CH4_RemainingLink,emission_factor,"activity, lower, upper",1,Constraint links the remaining CH4 emissions to oil extraction
